,Position,Track.Name,Artist,Streams,URL,Date,Region
29,29,Loco Enamorado,Abraham Mateo,9143,https://open.spotify.com/track/4N1c5rmWOzRmB9SMacr5wB,1/9/2018,ec
30,30,Havana - Remix,Camila Cabello,9141,https://open.spotify.com/track/3whrwq4DtvucphBPUogRuJ,1/9/2018,ec
31,31,Mi Mala,Mau y Ricky,8488,https://open.spotify.com/track/4XP6qLtHI0n9UjIPTsuqe8,1/9/2018,ec
32,32,Bonita,J Balvin,8404,https://open.spotify.com/track/693iqPOQvhI7PobtR8CC8v,1/9/2018,ec
33,33,#Natural,Paty Cantú,8394,https://open.spotify.com/track/6QY4K8DzL1HtAZbz7BGGOx,1/9/2018,ec
34,34,Cásate Conmigo,Silvestre Dangond,8392,https://open.spotify.com/track/6f4UPdDBQONKJBRqwZGjaJ,1/9/2018,ec
35,35,Vivo Pensando En Ti,Felipe Peláez,8237,https://open.spotify.com/track/0H7cz1bR7w9PulJL7Na774,1/9/2018,ec
36,36,Perfect,Ed Sheeran,8117,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,1/9/2018,ec
37,37,Solo,Amenazzy,8041,https://open.spotify.com/track/6zkgZ1pA4xHLMLgPXaF0Rk,1/9/2018,ec
38,38,Felices los 4,Maluma,8028,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn,1/9/2018,ec
39,39,New Rules,Dua Lipa,7748,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0,1/9/2018,ec
40,40,Havana,Camila Cabello,7676,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb,1/9/2018,ec
41,41,Shape of You,Ed Sheeran,7663,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,1/9/2018,ec
42,42,Mamita,CNCO,7632,https://open.spotify.com/track/5ojXuKXBYq0apcNucYSDXq,1/9/2018,ec
43,43,Quiero Repetir,Ozuna,7490,https://open.spotify.com/track/0MIcPSq9n2z5H8TAfEstri,1/9/2018,ec
